ENGLISH-1,ENGLISH-2,ENG DESCRIPTION,MALAYALAM-1,MALAYALAM-2,ML DESCRIPTION
abandon,,,"കയ്യൊഴിയുക, കൈവിടുക",,
ability,,,കഴിവ്,,
able,,,കഴിവുറ്റ,,
abortion,,,പേറ്ററുത്/കരുവഴിക്കുക,,
about,,,കുറിച്ച്/പറ്റി,,
above,,,മുകളില്‍,,
abroad,,,വെളിനാട്,,
absence,,,ഇല്ലായ്മ/അരിപ്പം,,
absolute,,,,,
absorb,,,"ഉള്‍ക്കൊള്ളുക, വലിച്ചെടുക്കുക",,
abuse,,,"ഇകഴ്ത്തല്‍, കയര്‍പ്പ് , കയര്‍പ്പം",,
academic,,,കല്‍വിയ,,
accept,,,"എതിരേല്‍ക്കുക, കൈക്കൊള്ളുക",,
access,,,വഴി,,
accident,,,അകപ്പാട്,,
accompany,,,കൂട്ടുപോകുക,,
accomplish,,,നേടിയെടുക്കുക,,
according,,,"അതുപടി, തക്കതായ",,
accountant,,,കണക്കപ്പിള്ള/കണക്കാള്‍,,
accurate,,,ശരിയായ,,
acknowledge,,,"ഏല്‍ക്കുക, ഏറ്റുപറയുക",,
acquire,,,"നേടുക, കൈക്കലാക്കുക",,
across,,,കുറുകെ,,
act,,,പെരുമാറുക,,
acting,,,പകർന്നാട്ടം,,
action,,,പെരുമാറ്റം/ചെയ്തി,,
active,,,ചുണയുള്ള,,
activist,,,,,
activity,,,ചെയ്ത്ത്,,
actor,,,നടന്‍,,
actress,,,നടി,,
actual,,,ശരിക്കുള്ള,,
actually,,,ശരിക്ക്,,
ad,,,വിളമ്പരം,,
adapt,,,പൊരുത്തപ്പെടുക,,
add,,,കൂട്ടുക,,
addition,,,കൂട്ടല്‍,,
additional,,,കൂടുതലായ,,
address,,,മേല്‍ചീട്ട്,,
adequate,,,"മതിയായ, ഉരിയമായ",,
adjust,,,"ഇണക്കുക, ശരിപ്പെടുത്തുക",,
adjustment,,,ഒതുക്കം,,
administration,,,മേലായ്മ,,
administrator,,,മേലാള്‍,,
admire,,,പുകഴ്ത്തുക,,
admission,,,കയറ്റിവിടല്‍,,
admit,,,,,
adopt,,,ഏറ്റെടുക്കുക,,
advertising,,,വിളമ്പരം ചെയ്യല്‍,,
advice,,,,,
advise,,,,,
adviser,,,,,
advocate,,,വക്കീല്‍,,
affair,,,ഇടപാട്,,
affect,,,ഏശുക,,
affiliation,,,കൂറ്,,
afford,,,വാങ്ങിക്കാനാകുക,,
afraid,,,"അഞ്ചല്‍, അച്ചം, പേടി",,
African,,,ആഫ്രിക്കന്‍,,
African-American,,,ആഫ്രിക്കന്‍-അമേരിക്കന്‍,,
after,,,പിന്നീട്,,
afternoon,,,വൈകുന്നേരം,,
again,,,വീണ്ടും,,
against,,,എതിരേ,,
age,,,വയസ്സ്,,
agency,,,,,
agenda,,,,,
agent,,,"പേരാള്‍, ആള്‍പ്പേര്‍, കരു (AI)",,
aggressive,,,,,
ahead,,,മുന്നില്‍,,
aid,,,"തുണയ്ക്കുക, ഉതകുന്ന",,
aide,,,തുണയാള്‍,,
AIDS,,,എയ്ഡ്സ്,,
airplane,,,വിണ്ണോടം,,
allegiance,,,കൂറ്,,
allow,,,,,
ally,,,കൂട്ടാളി,,
almost,,,ഏതാണ്ട്,,
alone,,,ഒറ്റയ്ക്ക്/തനിയേ,,
along,,,ഒപ്പം/കൂടെ,,
already,,,ഇപ്പോഴേ,,
also,,,കൂടാതെ,,
alter,,,മാറ്റുക,,
alternative,,,"മറ്റു, പകരമായ",,
although,,,എങ്കിലും,,
always,,,എപ്പോഴും,,
amaze,,,അമ്പരിപ്പിക്കുക,,
amazing,,,അടിപൊളി,,
American,,,അമേരിക്കന്‍,,
among,,,കൂട്ടത്തില്‍,,
amount,,,തുക,,
analysis,,,"ആരായ്ക, പൊരുളടക്കം",,
analyst,,,,,
analyze,,,,,
analyze,,,,,
ancient,,,പഴയ,,
and,,,ഒപ്പം/കൂടാതെ,,
anger,,,ഈറ്,,
angle,,,കോണ്‍/മൂല,,
angry,,,ഈറുള്ള,,
animal,,,മാക്/പടപ്പ്,,
anniversary,,,ആണ്ടുപിറപ്പ്‌,,
announce,,,അറിയിക്കുക,,
annual,,,ആണ്ടുതോറുമുള്ള,,
another,,,മറ്റൊന്ന്,,
answer,,,മറുപടി,,
anticipate,,,കാത്തിരിക്കുക,,
anxiety,,,മുന്‍പേടി,,
any,,,ഏതെങ്കിലും,,
anybody,,,ആരെങ്കിലും,,
anymore,,,ഇനിമുതല്‍,,
anyone,,,ആരെങ്കിലും,,
apply,,,ചുമത്തുക,,
appoint,,,വാഴ്ത്തുക,,
appointment,,,വാഴ്ത്തല്‍,,
appreciate,,,പുകഴ്ത്തുക,,
approach,,,അടുക്കുക,,
appropriate,,,വേണ്ടുന്നത്ര,,
approval,,,,,
approve,,,,,
approximately,,,ഏതാണ്ട്,,
Arab,,,അറബി,,
architect,,,,,
area,,,ഇടം/നിലം,,
argue,,,വഴക്കുകൂടുക,,
argument,,,വഴക്ക്/വാപ്പോര്,,
arise,,,ഉണരുക/എഴുന്നേല്‍ക്കുക,,
arm,,,കൈ,,
armed,,,പടക്കോപ്പെന്തിയ,,
armour,,,പടച്ചട്ട,,
army,,,പട്ടാളം,,
around,,,ചുറ്റും,,
arrange,,,ഏര്‍പ്പാടാക്കുക,,
arrangement,,,ഏര്‍പ്പാട്,,
arrest,,,പിടിച്ചുകെട്ടുക,,
arrival,,,വരവ്,,
arrive,,,വരിക,,
art,,,കല,,
article,,,എഴുത്ത്,,
artist,,,കലാകാരന്‍,,
artistic,,,"ചമല്‍ക്കാരമുള്ള , കലാമയമായ",,
as,,,പോലെ/ആയി,,
ash,,,വെണ്ണീര്‍/ചാമ്പല്‍,,
Asian,,,ഏഷ്യൻ,,
aside,,,കൂടാതെ,,
ask,,,"വിനവുക, കേള്‍ക്കുക",,
asleep,,,ഉറങ്ങുന്ന,,
aspect,,,,,
assault,,,,,
assert,,,തറപ്പിച്ചുപറയുക,,
assess,,,മതിപ്പുനോക്കുക,,
assessment,,,മതിപ്പുനോക്കല്‍,,
asset,,,,,
assign,,,നീക്കിവയ്ക്കുക/വകയിരിത്തുക,,
assignment,,,ചുമതല/പണി,,
assist,,,തുണയ്ക്കുക,,
assistance,,,തുണ,,
assistant,,,തുണയാള്‍,,
associate,,,തോഴന്‍,,
association,,,ചങ്ങാത്തം/അടുപ്പം,,
asteroid,,,ഉൽക്ക,,
atom,,,നുറു,,
attempt,,,തുനിവ്,,
attention,,,,,
attitude,,,പെരുമാറ്റം,,
attorney,,,വക്കീൽ,,
attract,,,,,
attractive,,,ചേലൊത്ത,,
attribute,,,,,
audience,,,കാഴ്ചക്കാര്‍/കാണികള്‍,,
author,,,എഴുത്തുകാരന്‍,,
authority,,,കോയ്മ,,
auto,,,വണ്ടി/താന്‍,,
available,,,കിട്ടുന്നത്,,
average,,,ശരാശരി,,
avoid,,,ഒഴിവാക്കുക,,
award,,,,,
aware,,,അറിഞ്ഞിരിക്കുക,,
awareness,,,ഉള്ളറിവ്,,
away,,,അകലെ/ദൂരെ,,
awful,,,മോശമായ,,
axis,,,അച്ചുതണ്ട്,,
baby,,,കുഞ്ഞ്,,
back,,,പുറം/പിന്നില്‍,,
background,,,പിന്നാമ്പുറം,,
backlash,,,തിരിച്ചടി,,
backward,,,പിന്നോക്കം,,
bad,,,ചീത്ത/മോശം,,
badly,,,മോശമായി,,
bag,,,സഞ്ചി,,
bake,,,ചുടുക,,
balance,,,ബാക്കി,,
ball,,,പന്ത്,,
ban,,,തടയുക,,
band,,,കൂട്ടം,,
bank,,,ഈടുമാട്,,
bar,,,കട്ട,,
barely,,,മുട്ടിച്ച്,,
barrel,,,വീപ്പ,,
barrier,,,തടസ്സം,,
base,,,അടിത്തറ/തമ്പ്,,
baseball,,,ബേസ്ബോള്‍,,
basic,,,അടിത്തറ,,
basically,,,ചുരുക്കം പറഞ്ഞാല്‍,,
basis,,,അടിത്തറ,,
basket,,,കുട്ട,,
basketball,,,കുട്ടപ്പന്ത്,,
bath,,,കുളി,,
bathing soap,,,കുളിക്കട്ട,,
bathroom,,,കുളിമുറി,,
beach,,,കടപ്പുറം/കടല്‍ക്കര,,
beauty,,,ചെമ്മ്/അഴക്/ചേല്,,
because,,,എന്തുകൊണ്ടെന്നാല്‍,,
become,,,ആകുക,,
bed,,,കിടക്ക,,
bedroom,,,കിടപ്പറ/കിടപ്പുമുറി,,
bedsheet,,,കിടയ്ക്കവിരി,,
beer,,,ബിയര്‍,,
before,,,മുന്‍പ്,,
begin,,,തുടങ്ങുക,,
beginning,,,തുടക്കം,,
behavior,,,പെരുമാറ്റം,,
behind,,,പിന്നില്‍,,
being,,,നിലനില്‍പ്പ്‌,,
belief,,,,,
believe,,,നമ്പുക,,
bell,,,മണി,,
belong,,,ഉടമത്തത്തിലാകുക,,
below,,,താഴെ,,
belt,,,അരപ്പട്ട,,
bench,,,ബെഞ്ച്‌,,
bend,,,വളയുക/വളയ്ക്കുക,,
beneath,,,കീഴെ,,
benefit,,,നേട്ടമുണ്ടാക്കുക,,
beside,,,അരികില്‍,,
besides,,,കൂടാതെ,,
best,,,ഏറ്റവും മികച്ചത്,,
bet,,,പന്തയം/വാതുവെപ്പ്,,
betray,,,ഒറ്റുക,,
better,,,മികച്ചത്,,
between,,,ഇടയില്‍,,
beyond,,,അപ്പുറം,,
Bible,,,ബൈബിള്‍,,
big,,,വലിയ,,
bike,,,ബൈക്ക്/ചവിട്ടുവണ്ടി,,
bill,,,രസീത്,,
billion,,,നൂറുകോടി,,
bind,,,കെട്ടുക,,
biological,,,ഉയിര്‍പ്പനുവല്‍,,
bird,,,കിളി/പറവ,,
birth,,,പിറവി,,
birthday,,,പിറന്നാള്‍,,
bit,,,തുണ്ട്/ഇറ്റ്,,
blame,,,പഴിചാരല്‍,,
blanket,,,പുതപ്പ്,,
board,,,പലക,,
boat,,,വള്ളം/വഞ്ചി,,
body,,,ഉടല്‍/മെയ്യ്,,
bomb,,,കൊലപ്പടക്കം,,
bombing,,,കൊലപ്പടക്കമിടല്‍,,
bond,,,അടുപ്പം,,
bone,,,എല്ല്,,
book,,,ഏട്,,
boom,,,പൊട്ടിത്തെറി,,
boot,,,,,
border,,,അതിര്‍ത്തി,,
born,,,പിറന്നു,,
borrow,,,കടമെടുക്കുക,,
boss,,,മുതലാളി,,
both,,,രണ്ടും/ഇരുവരും,,
bother,,,അലട്ടല്‍,,
bottle,,,കുപ്പി,,
bottom,,,കീഴെ,,
boundary,,,അതിര്‍ത്തി,,
bowl,,,കോപ്പ,,
box,,,പെട്ടി/ചെപ്പ്,,
boy,,,ആണ്‍കുട്ടി,,
boyfriend,,,,,
brain,,,തലച്ചോറ്,,
branch,,,ചില്ല,,
brand,,,ചാപ്പ,,
bread,,,റൊട്ടി,,
break,,,ഉടയുക/ഇടവേള,,
breakfast,,,പ്രാതല്‍/മുത്താഴം,,
breast,,,മുല,,
breath,,,വീര്‍പ്പ്,,
broadcast,,,പരക്കെകാണിപ്പ്,,
broom,,,ചൂല്‍,,
browse,,,തിരയുക,,
brush,,,കുറ്റി,,
buck,,,കാശ്,,
budget,,,പണമതിപ്പ്/വകയിരുത്തല്‍,,
build,,,പണിയുക,,
building,,,കെട്ടിട്ടം,,
bullet,,,വെടിയുണ്ട,,
bunch,,,കെട്ട്,,
burden,,,ചുമതല,,
burn,,,കത്തിക്കുക,,
bury,,,കുഴിച്ചിടുക,,
bus,,,ബസ്സ്‌,,
bush,,,കുറ്റിക്കാട്,,
business,,,കച്ചവടം,,
busy,,,തിരക്ക്,,
but,,,പക്ഷേ,,
butter,,,വെണ്ണ,,
butterfly,,,പൂമ്പാറ്റ/ഇടവല്‍,,
button,,,കുടുക്ക്,,
buy,,,വാങ്ങുക,,
buyer,,,വാങ്ങിപ്പവര്‍,,
by,,,അതിനാല്‍,,
calculate,,,കണക്കുകൂട്ടുക,,
calligraphy,,,കൈക്കുറ്റപ്പാട്,,
camp,,,പാളയം,,
campus,,,വളപ്പ്,,
can,,,കഴിയും,,
Canadian,,,കാനഡക്കാരന്‍,,
cancer,,,,,
candidate,,,,,
cap,,,തൊപ്പി/അടപ്പ്,,
capability,,,കഴിവ്,,
capable,,,കഴിവുറ്റ,,
capacity,,,പാങ്ങ്,,
capital,,,തലപ്പട്ടണം,,
captain,,,തലവന്‍,,
capture,,,പിടിച്ചടക്കുക,,
car,,,കാര്‍,,
carbon,,,കരി,,
card,,,ചീട്ട്,,
care,,,നോക്കുക/ഓമനിക്കുക,,
carry,,,പേറുക/ചുമക്കുക,,
case,,,വക്കാണം,,
category,,,ഇനം,,
Catholic,,,കത്തോലിക,,
cause,,,വേര്,,
cave,,,കല്ലള,,
cavity,,,പോട്,,
ceiling,,,മച്ച്/മേല്‍ക്കൂര,,
celebrate,,,കൊണ്ടാടുക,,
celebration,,,കൊണ്ടാട്ടം,,
celebrity,,,പേരുകേട്ടവര്‍,,
cell,,,,,
center,,,നടുവ്,,
central,,,നടുക്കുള്ള,,
century,,,നൂറ്റാണ്ട്,,
CEO,,,കമ്പനി തലവര്‍,,
ceremony,,,ചടങ്ങ്,,
certain,,,ഉറപ്പ്,,
certainly,,,ഉറപ്പായും,,
chain,,,ചങ്ങല,,
chair,,,കസേര,,
chairman,,,തലവര്‍,,
challenge,,,വെല്ലുവിളി,,
chamber,,,അറ,,
chameleon,,,ഓന്ത്,,
champion,,,വെന്നവര്‍,,
championship,,,"പോരാട്ടം, കിടച്ചല്‍",,
chance,,,ഇട,,
change,,,മാറ്റം/മാറ്റുക,,
changing,,,മാറുന്ന,,
channel,,,ചാല്‍,,
chapter,,,തുണ്ട്/പകുപ്പ്,,
character,,,ആള്‍ത്തരം,,
characteristic,,,,,
characterize,,,,,
charge,,,മിന്‍കയറ്റുക,,
charity,,,,,
chart,,,വരപ്പടം,,
chase,,,പിന്തുടരല്‍,,
chauvinism,,,ആണ്‍കോയ്മ,,
cheat,,,വഞ്ചിക്കുക/ചതിക്കുക,,
cheap,,,വിലകുറഞ്ഞ,,
check,,,മതിപ്പുനോക്കുക/ മേന്മനോക്കുക,,
cherish,,,നുകരുക,,
Chinese,,,ചീന,,
circuit,,,ചൂഴവഴി,,
citizen,,,കുടിയാള്‍,,
civilization,,,നാട്ടുപാര്‍പ്പ്,,
claim,,,ചോദിച്ചുവാങ്ങുക,,
class,,,വക,,
classic,,,തരം,,
classroom,,,തരമുറി,,
clay,,,കളിമണ്ണ്,,
clean,,,വെടിപ്പ്,,
clock,,,നാഴികമണി,,
closely,,,അടുത്ത,,
closer,,,കൂടുതല്‍ അടുത്ത്,,
clothes,,,ഉടുപ്പുകള്‍,,
clothing,,,ഉടുപ്പ്,,
cloud,,,മുകില്‍,,
club,,,കൂട്ടം,,
clue,,,തുമ്പ്,,
cluster,,,കൂട്ടം,,
coach,,,ആശാന്‍,,
coal,,,കല്‍ക്കരി,,
coalition,,,കൂട്ടുവാഴ്ച,,
coast,,,തീരം,,
coat,,,മേലങ്കി,,
code,,,ഒളിയെഴുത്ത്,,
coffee,,,കാപ്പി,,
collect,,,ഈണ്ടുക,,
color,,,നിറം,,
column,,,തൂണ്‍,,
combination,,,കൂട്ടിച്ചേര്‍പ്പ്,,
combine,,,കൂട്ടിചേര്‍ക്കുക,,
come,,,വരിക,,
comedy,,,തമാശ,,
comfort,,,താപ്പ്,,
comfortable,,,താപ്പായ,,
command,,,ഉത്തരവ്,,
commander,,,പടത്തലവന്‍,,
comment,,,അടിക്കുറിപ്പ്,,
commercial,,,കച്ചവട,,
commission,,,പണപ്പങ്ക്,,
commit,,,കുറ്റം ചെയ്യുക/ ഉരി കൊടുക്കുക,,
commitment,,,വാക്കുറപ്പ്,,
committee,,,തീര്‍പ്പുകൂട്ടം,,
common,,,പൊതുവായ,,
communicate,,,മിണ്ടുക,,
communication,,,മിണ്ടാട്ടം,,
community,,,ആള്‍ക്കൂട്ടം,,
company,,,കമ്പനി,,
compare,,,ഒത്തുനോക്കുക,,
comparison,,,ഒത്തുനോട്ടം,,
compassion,,,അകമുരുകല്‍,,
compete,,,പോരടിക്കുക,,
competition,,,പോരാട്ടം,,
competitive,,,പോരാട്ടവീറുള്ള,,
competitor,,,പോരാളി,,
complain,,,പരാതിപ്പെടുക,,
complaint,,,പരാതി,,
complete,,,മുഴുവന്‍,,
completely,,,മുഴുവനായി,,
complex,,,,,
complicated,,,കുഴപ്പം പിടിച്ച,,
component,,,നുറുങ്ങ്,,
computer,,,എണ്ണിനി,,
concept,,,,,
concern,,,,,
concerned,,,,,
concert,,,കച്ചേരി,,
concession,,,ഇളവ്,,
conclude,,,ഒടുങ്ങുക,,
conclusion,,,ഒടുക്കം/കലാശം,,
concrete,,,ഉറച്ചത്,,
condition,,,നില/ഉഴി/പടുതി,,
condom,,,ഓക്കുറ,,
conduct,,,നടത്തുക,,
conference,,,കൂടിയിരിക്കല്‍,,
confidence,,,ഉള്ളുറപ്പ്,,
confident,,,ഉള്ളുറപ്പുള്ള,,
confirm,,,ഉറപ്പിക്കുക/തീര്‍ച്ചപ്പെടുത്തുക,,
conflict,,,വഴക്ക്,,
confront,,,നേരിടുക,,
confusion,,,,,
Congress,,,,,
congressional,,,,,
connect,,,കൂട്ടുചേര്‍ക്കുക,,
connection,,,കൂട്ട്,,
conquer,,,കീഴടക്കുക,,
consciousness,,,ഉണര്‍വ്,,
consensus,,,ഒത്തൊരുമ,,
consent,,,,,
consequence,,,,,
conservative,,,,,
consider,,,കണക്കിലെടുക്കുക,,
considerable,,,,,
consideration,,,,,
consist,,,അടങ്ങുക,,
consistent,,,അടക്കമുള്ള,,
constant,,,മാറാത്ത,,
constantly,,,തുടര്‍ച്ചയായി,,
constitute,,,അടങ്ങുക,,
constitutional,,,,,
construct,,,ചമയ്ക്കുക/പണിയുക/കെട്ടുക,,
construction,,,കെട്ട്,,
consultant,,,,,
consume,,,,,
consumer,,,,,
consumption,,,,,
contact,,,ഇടപഴകല്‍,,
contain,,,അടങ്ങുക,,
container,,,,,
contemporary,,,ഇന്നത്തെ,,
content,,,ഉള്ളടക്കം,,
contest,,,പോരാട്ടം,,
context,,,,,
continue,,,തുടരുക,,
continued,,,തുടര്‍ന്ന്,,
contract,,,ഉടമ്പടി,,
contrast,,,ഒത്തുനോക്കുക,,
contribute,,,പങ്കുവയ്ക്കുക,,
contribution,,,പങ്കാളിത്തം,,
control,,,വരുതി,,
controversial,,,കയമ്പപ്പെട്ട,,
controversy,,,കയമ്പം,,
convention,,,മുറ,,
conventional,,,മുറയ്ക്കൊത്ത,,
conversation,,,മിണ്ടാട്ടം,,
convert,,,മാറ്റുക,,
conviction,,,ഉറപ്പ്,,
convince,,,,,
cook,,,,,
cookie,,,കുക്കി,,
cook,,,അടുക്കളക്കാരന്‍,,
cooking,,,അടുകുക,,
cool,,,തണുപ്പിക്കുക/തണുത്ത,,
cooperation,,,ഒത്തുചെയ്യുക,,
cop,,,പോലീസ്,,
cope,,,നേരിടുക,,
copy,,,പകര്‍പ്പ്/പകര്‍ത്തുക,,
core,,,കാതല്‍/കാമ്പ്,,
corn,,,ചോളം,,
corner,,,മൂല,,
corporate,,,കുത്തക,,
corporation,,,കുത്തക,,
correct,,,ശരി,,
correspondent,,,,,
cost,,,ചെലവ്,,
cotton,,,പരുത്തി,,
couch,,,കിടക്ക,,
could,,,കഴിയും,,
council,,,,,
counselor,,,,,
count,,,എണ്ണുക/എണ്ണം,,
counter,,,എണ്ണം,,
country,,,നാട്,,
county,,,ജില്ല,,
couple,,,രണ്ട്/ജോഡി,,
courage,,,വീറ്,,
course,,,പോക്ക്,,
court,,,കോടതി,,
cousin,,,മച്ചുനന്‍,,
cover,,,മൂടുക/മൂടി/പുതയുക,,
coverage,,,പടര്‍പ്പ്,,
cow,,,കന്ന്,,
crack,,,പിളര്‍പ്പ്,,
craft,,,കൈവിരുത്,,
crash,,,ഇടിക്കുക,,
crazy,,,വട്ട്,,
cream,,,പാല്‍പ്പാട,,
create,,,ഉണ്ടാക്കുക,,
creation,,,,,
creative,,,,,
creature,,,പടപ്പ്,,
credit,,,കടം,,
crew,,,പണിക്കാര്‍,,
crime,,,കുറ്റം,,
criminal,,,കുറ്റവാളി,,
crisis,,,,,
criteria,,,,,
critic,,,,,
critical,,,കുറ്റപ്പെടുത്തുന്ന,,
criticism,,,കുറ്റപ്പെടുത്തുല്‍,,
criticize,,,കുറ്റപ്പെടുത്തുക,,
crop,,,വിള,,
cross,,,കുരിശ്/കുറുകെ,,
crowd,,,ആള്‍ക്കൂട്ടം,,
crucial,,,വേണ്ടപ്പെട്ട,,
cry,,,കരയുക,,
cryptocurrency,,,ഊടുപണം,,
cultural,,,,,
culture,,,നാട്ടുമുറ,,
cunning,,,,,
cup,,,കോപ്പ,,
curious,,,,,
current,,,നിലവിലെ/ഇപ്പോഴത്തെ,,
currently,,,നിലവില്‍,,
curriculum,,,,,
curtain,,,"മറ, ജന്നല്‍വിരി",,
custom,,,പഴമുറ,,
customer,,,വാങ്ങിപ്പോർ,,
cut,,,മുറിക്കുക,,
cycle,,,ചവിട്ടുവണ്ടി,,
dad,,,തന്ത/അച്ചന്‍,,
daily,,,എന്നും,,
damage,,,തകരാറ്/ഒടിവ്,,
dance,,,കൂത്ത്/ആട്ടം/തുള്ളല്‍,,
danger,,,അപകടം,,
dangerous,,,അപകടമുളവാക്കുന്ന,,
data,,,അക്കല്‍,,
dear,,,ഓമന,,
death,,,ചാവ്,,
debate,,,ഉരിപ്പോര്,,
debt,,,കടം,,
decade,,,പതിറ്റാണ്ട്,,
decide,,,തീരുമാനിക്കുക,,
decision,,,തീരുമാനം,,
deck,,,മുകള്‍ത്തട്ട്,,
declare,,,അറിയിക്കുക,,
decline,,,ഇടിവ്,,
decoration,,,പകിട്ട്,,
decrease,,,ഇടിയുക,,
deep,,,ആഴത്തിലുള്ള,,
deeply,,,ആഴത്തില്‍,,
deer,,,മാന്‍,,
defeat,,,തോല്‍വി,,
defend,,,ചെറുത്തുനില്‍ക്കുക,,
defendant,,,കുറ്റംചാര്‍ത്തപ്പെട്ടവര്‍,,
defense,,,ചെറുത്തുനില്‍പ്പ്,,
defensive,,,ചെറുത്തുനില്‍ക്കുന്ന,,
deficit,,,കമ്മി,,
define,,,ഉരിപ്പൊരുള്‍ കൊടുക്കുക,,
definitely,,,തീര്‍ച്ചയായും,,
definition,,,ഉരിപ്പൊരുള്‍,,
degradation,,,അഴുകല്‍,,
degree,,,അളവ്,,
delay,,,വൈകല്‍/താമസം,,
deliver,,,എത്തിക്കുക,,
delivery,,,എത്തിക്കല്‍,,
demand,,,,,
democracy,,,ആള്‍ക്കോയ്മ,,
Democrat,,,ഡെമോക്രാറ്റ്,,
democratic,,,ആള്‍ക്കോയ്മയുള്ള,,
demonstrate,,,കാട്ടിക്കൊടുക്കുക,,
demonstration,,,കാട്ടികൊടുക്കല്‍,,
deny,,,,,
department,,,വകുപ്പ്,,
depend,,,തുണവേണ്ടുക,,
dependent,,,തുണവേണ്ടവര്‍,,
depending,,,അതിനൊത്ത്,,
depict,,,വരച്ചുകാട്ടുക,,
deportation,,,നാടുകടത്തല്‍,,
depression,,,അഴല്‍,,
depth,,,ആഴം,,
deputy,,,കീഴാള്‍,,
derive,,,,,
describe,,,വരച്ചുകാട്ടുക,,
description,,,വരച്ചുകാട്ടല്‍,,
desert,,,മരുനിലം/മണല്‍ക്കാട്,,
deserve,,,,,
design,,,ഉരുവപ്പാട്,,
designer,,,ഉരുവപ്പെടുത്തുകാരന്‍,,
desire,,,കൊതി/പൂതി,,
desk,,,മേശ,,
desperate,,,,,
despite,,,എങ്കിലും,,
destroy,,,മുടിക്കുക,,
destruction,,,മുടിവ്,,
detail,,,,,
detailed,,,,,
detect,,,കണ്ടെത്തുക,,
determine,,,കണ്ടുപിടിക്കുക,,
develop,,,വളരുക,,
developing,,,വളരുന്ന,,
development,,,വളര്‍ച്ച,,
device,,,,,
devote,,,നീക്കിവയ്ക്കുക,,
dialogue,,,മിണ്ടാട്ടം,,
dice,,,പകിട,,
dictatorship,,,തേര്‍വാഴ്ച,,
die,,,ചാകുക,,
diet,,,തിന്മുറ,,
differ,,,വേറിട്ടിരിക്കുക,,
difference,,,വേറിടല്‍,,
different,,,വേറിട്ട,,
differently,,,വേറിട്ട,,
difficult,,,പാടായ,,
difficulty,,,പാട്/വല്ലായ്ക,,
digit,,,അക്കം,,
dimension,,,മാനം,,
disability,,,പറ്റായ്ക,,
disagree,,,എതിര്‍ക്കുക,,
disappear,,,മായുക,,
disaster,,,അപകടം/കരുവിന,,
discipline,,,അച്ചടക്കം,,
discourse,,,,,
